Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
556,Pablo Sarabia,es ESP,"FW,MF",fr Paris Saint-Germain,27,1992,4.5,2,9,6,66.7,2,1.33,0.22,0.33,0,0,Matches
557,Marcelo Saracchi,uy URU,"MF,DF",de RB Leipzig,21,1998,1.8,0,0,0,,0,0,,,0,0,Matches
558,Stefan Savić,me MNE,DF,es Atlético Madrid,28,1991,4.3,1,4,2,50,0.92,0.46,0.25,0.5,0,0,Matches
559,Patrik Schick,cz CZE,FW,de RB Leipzig,23,1996,2.7,0,11,2,18.2,4.12,0.75,0,0,0,0,Matches
560,Marcel Schmelzer,de GER,DF,de Dortmund,31,1988,0,0,0,0,,0,0,,,0,0,Matches
561,Siebe Schrijvers,be BEL,"FW,MF",be Club Brugge,23,1996,0.9,0,2,0,0,2.25,0,0,,0,0,Matches
562,Nico Schulz,de GER,"MF,DF",de Dortmund,26,1993,2.5,0,4,2,50,1.6,0.8,0,0,0,0,Matches
563,Perr Schuurs,nl NED,DF,nl Ajax,19,1999,1.2,0,0,0,,0,0,,,0,0,Matches
564,Haris Seferović,ch SUI,FW,pt Benfica,27,1992,2.3,2,8,4,50,3.46,1.73,0.25,0.5,0,0,Matches
565,Nélson Semedo,pt POR,DF,es Barcelona,25,1993,7,0,4,1,25,0.57,0.14,0,0,0,0,Matches
566,Rúben Semedo,pt POR,DF,gr Olympiacos,25,1994,6,2,5,2,40,0.83,0.33,0.4,1,0,0,Matches
567,Stefano Sensi,it ITA,MF,it Inter,23,1995,2.1,0,5,1,20,2.36,0.47,0,0,0,0,Matches
568,Jean Seri,ci CIV,MF,tr Galatasaray,28,1991,5.3,0,2,1,50,0.38,0.19,0,0,0,0,Matches
569,Ryan Sessegnon,eng ENG,MF,eng Tottenham Hotspur,19,2000,2.2,1,3,2,66.7,1.38,0.92,0.33,0.5,0,0,Matches
