Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
127,Eduardo Camavinga,fr FRA,MF,es Real Madrid,21,2002,9,5,496,5.5,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches
128,Andrea Cambiaso,it ITA,DF,it Juventus,24,2000,7,5,565,6.3,0,1,1,0,0,0,0,0,0,0.16,0.16,0,0.16,Matches
129,Cole Campbell,us USA,FW,de Dortmund,18,2006,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
130,Emre Can,de GER,"DF,MF",de Dortmund,30,1994,12,10,942,10.5,2,1,3,0,2,2,1,0,0.19,0.1,0.29,0,0.1,Matches
131,Nicolás Capaldo,ar ARG,"MF,DF",at RB Salzburg,25,1998,8,5,515,5.7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
132,Diego Carlos,br BRA,DF,eng Aston Villa,31,1993,6,5,484,5.4,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
133,Marco Carnesecchi,it ITA,GK,it Atalanta,24,2000,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
134,Julián Carranza,ar ARG,FW,nl Feyenoord,24,2000,7,2,265,2.9,1,0,1,1,0,0,1,0,0.34,0,0.34,0.34,0.34,Matches
135,Álvaro Carreras,es ESP,DF,pt Benfica,21,2003,10,10,900,10,0,2,2,0,0,0,5,0,0,0.2,0.2,0,0.2,Matches
136,Cameron Carter-Vickers,us USA,DF,sct Celtic,26,1997,7,7,606,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
137,Dani Carvajal,es ESP,DF,es Real Madrid,32,1992,2,2,180,2,0,1,1,0,0,0,0,0,0,0.5,0.5,0,0.5,Matches
138,Marc Casado,es ESP,MF,es Barcelona,20,2003,10,7,633,7,0,2,2,0,0,0,1,0,0,0.28,0.28,0,0.28,Matches
139,Nicolò Casale,it ITA,DF,it Bologna,26,1998,4,2,219,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
140,Matty Cash,pl POL,"DF,MF",eng Aston Villa,26,1997,8,7,513,5.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
141,Santiago Castro,ar ARG,FW,it Bologna,19,2004,7,4,336,3.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
142,Geny Catamo,mz MOZ,MF,pt Sporting CP,23,2001,8,6,504,5.6,1,0,1,1,0,0,0,0,0.18,0,0.18,0.18,0.18,Matches
143,Dani Ceballos,es ESP,MF,es Real Madrid,27,1996,9,4,405,4.5,0,1,1,0,0,0,1,0,0,0.22,0.22,0,0.22,Matches
144,Julian Chabot,de GER,DF,de Stuttgart,26,1998,8,7,647,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
145,El Chadaille Bitshiabu,fr FRA,DF,de RB Leipzig,19,2005,4,3,268,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
146,Miguel Chaiwa,zm ZAM,MF,ch Young Boys,20,2004,2,0,41,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
147,Brendan Chardonnet,fr FRA,DF,fr Brest,29,1994,9,9,810,9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
148,Anrie Chase,jp JPN,DF,de Stuttgart,20,2004,5,1,158,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
149,Lucas Chevalier,fr FRA,GK,fr Lille,22,2001,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
150,Federico Chiesa,it ITA,FW,eng Liverpool,26,1997,3,1,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Andreas Christensen,dk DEN,"DF,MF",es Barcelona,28,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
152,Tochi Chukwuani,dk DEN,MF,at Sturm Graz,21,2003,7,7,604,6.7,0,1,1,0,0,0,2,0,0,0.15,0.15,0,0.15,Matches
153,Carney Chukwuemeka,at AUT,MF,de Dortmund,20,2003,3,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
154,Samuel Chukwueze,ng NGA,MF,it Milan,25,1999,7,1,280,3.1,0,1,1,0,0,0,2,0,0,0.32,0.32,0,0.32,Matches
155,Bobby Clark,eng ENG,MF,at RB Salzburg,19,2005,6,4,326,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
156,Silvi Clúa,es ESP,MF,es Girona,19,2005,1,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
157,Elias Cobbaut,be BEL,DF,cz Sparta Prague,26,1997,2,2,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
158,Matteo Cocchi,it ITA,DF,it Inter,17,2007,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
159,Ebrima Colley,gm GAM,"MF,FW",ch Young Boys,24,2000,7,4,306,3.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
160,Kingsley Coman,fr FRA,MF,de Bayern Munich,28,1996,11,5,458,5.1,1,0,1,1,0,0,2,0,0.2,0,0.2,0.2,0.2,Matches
161,Francisco Conceição,pt POR,"MF,FW",it Juventus,21,2002,9,6,605,6.7,1,1,2,1,0,0,2,0,0.15,0.15,0.3,0.15,0.3,Matches
162,Abdu Conté,pt POR,"DF,MF",ch Young Boys,26,1998,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
163,Tommaso Corazza,it ITA,MF,it Bologna,20,2004,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
164,Juan Córdoba,co COL,MF,hr Dinamo Zagreb,21,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
165,Ángel Correa,ar ARG,MF,es Atlético Madrid,29,1995,8,2,269,3,3,1,4,3,0,0,2,0,1,0.33,1.34,1,1.34,Matches
166,Grégoire Coudert,fr FRA,GK,fr Brest,25,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
167,Soumaïla Coulibaly,fr FRA,DF,fr Brest,20,2003,8,7,636,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
168,Thibaut Courtois,be BEL,GK,es Real Madrid,32,1992,12,12,"1,110",12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
169,Yan Couto,br BRA,"MF,DF",de Dortmund,22,2002,8,2,231,2.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
