Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
166,Marcel Schuhen,de GER,GK,Darmstadt 98,de Bundesliga,30,1993,31,31,"2,790",31,76,2.45,197,123,61.9,3,7,21,3,9.7,2,1,1,0,50,Matches
167,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,28,1995,34,34,"3,060",34,60,1.76,166,109,65.7,5,12,17,3,8.8,3,3,0,0,0,Matches
168,Alexander Schwolow,de GER,GK,Union Berlin,de Bundesliga,31,1992,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,0,,Matches
169,Simone Scuffet,it ITA,GK,Cagliari,it Serie A,27,1996,31,31,"2,789",31,55,1.77,131,79,60.3,8,10,13,3,9.7,3,3,0,0,0,Matches
170,Matz Sels,be BEL,GK,Nottingham Forest,eng Premier League,31,1992,16,16,"1,440",16,27,1.69,63,37,58.7,4,4,8,1,6.3,1,1,0,0,0,Matches
171,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,31,1992,19,19,"1,710",19,24,1.26,64,41,64.1,6,7,6,3,15.8,1,1,0,0,0,Matches
172,James Shea,eng ENG,GK,Luton Town,eng Premier League,32,1991,1,0,15,0.2,0,0,2,2,100,0,0,0,0,,0,0,0,0,,Matches
173,Rui Silva,pt POR,GK,Real Betis,es La Liga,29,1994,28,28,"2,475",27.5,36,1.31,114,86,74.6,10,9,9,7,25,8,7,1,0,12.5,Matches
174,Marco Silvestri,it ITA,GK,Udinese,it Serie A,32,1991,17,17,"1,530",17,28,1.65,63,41,65.1,1,11,5,4,23.5,6,6,0,0,0,Matches
175,Unai Simón,es ESP,GK,Athletic Club,es La Liga,26,1997,36,36,"3,182",35.4,33,0.93,121,91,73.6,18,11,7,15,41.7,5,1,3,1,75,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
176,Antonio Sivera,es ESP,GK,Alavés,es La Liga,26,1996,34,34,"3,060",34,38,1.12,117,87,74.4,11,8,15,9,26.5,8,8,0,0,0,Matches
