Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
77,Lucas Beraldo,br BRA,DF,fr Paris Saint-Germain,19,2003,4.5,0,0,0,,0,0,,,0,0,Matches
78,Paulo Bernardo,pt POR,MF,sct Celtic,21,2002,3.5,0,1,0,0,0.29,0,0,,0,0,Matches
79,Juan Bernat,es ESP,DF,pt Benfica,30,1993,1.2,0,1,1,100,0.81,0.81,0,0,0,0,Matches
80,Mads Bidstrup,dk DEN,MF,at RB Salzburg,22,2001,5.5,0,1,0,0,0.18,0,0,,0,0,Matches
81,Justin Bijlow,nl NED,GK,nl Feyenoord,25,1998,4,0,0,0,,0,0,,,0,0,Matches
82,Janis Blaswich,de GER,GK,de RB Leipzig,32,1991,5,0,0,0,,0,0,,,0,0,Matches
83,Lewin Blum,ch SUI,DF,ch Young Boys,22,2001,2.4,1,4,1,25,1.67,0.42,0.25,1,0,0,Matches
84,Oscar Bobb,no NOR,"MF,FW",eng Manchester City,20,2003,2.4,1,4,2,50,1.65,0.83,0.25,0.5,0,0,Matches
85,Sacha Boey,fr FRA,DF,tr Galatasaray,22,2000,6,1,5,1,20,0.83,0.17,0.2,1,0,0,Matches
86,Nicolai Boilesen,dk DEN,DF,dk FC Copenhagen,31,1992,1,0,0,0,,0,0,,,0,0,Matches
87,Valerii Bondar,ua UKR,DF,ua Shakhtar Donetsk,24,1999,4,0,0,0,,0,0,,,0,0,Matches
88,Artem Bondarenko,ua UKR,MF,ua Shakhtar Donetsk,22,2000,2.5,0,3,1,33.3,1.22,0.41,0,0,0,0,Matches
89,Leonardo Bonucci,it ITA,DF,de Union Berlin,36,1987,2.9,0,0,0,,0,0,,,0,0,Matches
90,Gonçalo Borges,pt POR,MF,pt Porto,22,2001,0.4,0,0,0,,0,0,,,0,0,Matches
91,Cristian Borja,co COL,DF,pt Braga,30,1993,5.7,0,0,0,,0,0,,,0,0,Matches
92,Olivier Boscagli,fr FRA,DF,nl PSV,25,1997,6.8,0,2,0,0,0.29,0,0,,0,0,Matches
93,Sven Botman,nl NED,DF,eng Newcastle United,23,2000,1,0,0,0,,0,0,,,0,0,Matches
94,Julian Brandt,de GER,MF,de Dortmund,27,1996,8.7,2,19,6,31.6,2.18,0.69,0.11,0.33,0,0,Matches
95,Bruma,pt POR,"MF,FW",pt Braga,28,1994,4.1,2,12,5,41.7,2.91,1.21,0.17,0.4,0,0,Matches
96,Osman Bukari,gh GHA,"FW,MF",rs Red Star,24,1998,5.4,2,12,2,16.7,2.22,0.37,0.17,1,0,0,Matches
97,Dan Burn,eng ENG,DF,eng Newcastle United,31,1992,3.1,1,3,1,33.3,0.97,0.32,0.33,1,0,0,Matches
98,Jean Butez,fr FRA,GK,be Antwerp,28,1995,5,0,0,0,,0,0,,,0,0,Matches
99,Arthur Cabral,br BRA,FW,pt Benfica,25,1998,1.3,1,3,1,33.3,2.25,0.75,0.33,1,0,0,Matches
100,Jens Cajuste,se SWE,MF,it Napoli,23,1999,1.8,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
101,Davide Calabria,it ITA,DF,it Milan,26,1996,4.8,0,1,0,0,0.21,0,0,,0,0,Matches
102,Hakan Çalhanoğlu,tr TUR,MF,it Inter,29,1994,5.7,1,12,3,25,2.12,0.53,0,0,1,1,Matches
103,Eduardo Camavinga,fr FRA,"MF,DF",es Real Madrid,20,2002,8.8,0,10,4,40,1.14,0.46,0,0,0,0,Matches
104,Emre Can,de GER,MF,de Dortmund,29,1994,10.1,0,5,1,20,0.5,0.1,0,0,0,0,Matches
105,João Cancelo,pt POR,DF,es Barcelona,29,1994,9,2,11,5,45.5,1.23,0.56,0.18,0.4,0,0,Matches
106,Nicolás Capaldo,ar ARG,MF,at RB Salzburg,24,1998,2.4,0,3,2,66.7,1.27,0.85,0,0,0,0,Matches
107,Fábio Cardoso,pt POR,DF,pt Porto,29,1994,3,0,0,0,,0,0,,,0,0,Matches
108,David Carmo,ao ANG,DF,pt Porto,24,1999,4,0,1,0,0,0.25,0,0,,0,0,Matches
109,Cameron Carter-Vickers,us USA,DF,sct Celtic,25,1997,3.3,0,2,1,50,0.6,0.3,0,0,0,0,Matches
110,Dani Carvajal,es ESP,DF,es Real Madrid,31,1992,9.4,1,8,1,12.5,0.85,0.11,0.13,1,0,0,Matches
111,Fabio Carvalho,pt POR,MF,de RB Leipzig,20,2002,1.4,0,4,1,25,2.93,0.73,0,0,0,0,Matches
112,Vitor Carvalho,br BRA,MF,pt Braga,26,1997,2.9,0,4,0,0,1.36,0,0,,0,0,Matches
113,Marc Casado,es ESP,MF,es Barcelona,19,2003,0.3,0,0,0,,0,0,,,0,0,Matches
114,Nicolò Casale,it ITA,DF,it Lazio,25,1998,2,0,0,0,,0,0,,,0,0,Matches
115,Casemiro,br BRA,MF,eng Manchester Utd,31,1992,1.8,2,5,2,40,2.71,1.08,0.4,1,0,0,Matches
116,Valentín Castellanos,ar ARG,FW,it Lazio,24,1998,2.4,0,7,1,14.3,2.89,0.41,0,0,0,0,Matches
117,André Castro,pt POR,MF,pt Braga,35,1988,0.1,1,1,1,100,18,18,1,1,0,0,Matches
118,Danilo Cataldi,it ITA,MF,it Lazio,28,1994,1.8,0,1,1,100,0.56,0.56,0,0,0,0,Matches
119,Dani Ceballos,es ESP,MF,es Real Madrid,26,1996,1.7,1,2,1,50,1.18,0.59,0.5,1,0,0,Matches
120,Miguel Chaiwa,zm ZAM,MF,ch Young Boys,19,2004,0.7,0,1,1,100,1.5,1.5,0,0,0,0,Matches
121,Chiquinho,pt POR,"FW,MF",pt Benfica,28,1995,0.6,0,1,0,0,1.55,0,0,,0,0,Matches
122,Andreas Christensen,dk DEN,"DF,MF",es Barcelona,27,1996,4.9,1,4,1,25,0.82,0.21,0.25,1,0,0,Matches
123,Samuel Chukwueze,ng NGA,"MF,FW",it Milan,24,1999,1.8,2,9,4,44.4,4.91,2.18,0.22,0.5,0,0,Matches
