Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
137,Joaquín Correa,ar ARG,FW,it Inter,27,1994,9,3,304,3.4,1,2,3,1,0,0,0,0,0.3,0.59,0.89,0.3,0.89,Matches
138,Bruno Xavier Almeida Costa,pt POR,MF,pt Porto,25,1997,3,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
139,Diogo Costa,pt POR,GK,pt Porto,22,1999,8,8,720,8,0,1,1,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
140,Soumaïla Coulibaly,fr FRA,DF,de Dortmund,18,2003,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
141,Thibaut Courtois,be BEL,GK,es Real Madrid,30,1992,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
142,Juan Cuadrado,co COL,"MF,DF",it Juventus,34,1988,6,6,431,4.8,0,1,1,0,0,0,0,0,0,0.21,0.21,0,0.21,Matches
143,Marc Cucurella,es ESP,"DF,MF",eng Chelsea,24,1998,8,4,414,4.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
144,Matheus Cunha,br BRA,"FW,MF",es Atlético Madrid,23,1999,5,0,122,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
145,Danilo D'Ambrosio,it ITA,DF,it Inter,33,1988,6,1,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
146,Danilo,br BRA,DF,it Juventus,31,1991,5,5,427,4.7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
147,Arnaut Danjuma,nl NED,"FW,MF",eng Tottenham Hotspur,25,1997,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Mohamed Daramy,dk DEN,"FW,MF",dk FC Copenhagen,20,2002,6,6,443,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
149,Matteo Darmian,it ITA,"DF,MF",it Inter,32,1989,11,9,821,9.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
150,Dean David,il ISR,FW,il Maccabi Haifa,26,1996,6,3,237,2.6,1,0,1,1,0,0,0,0,0.38,0,0.38,0.38,0.38,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Alphonso Davies,ca CAN,DF,de Bayern Munich,21,2000,9,6,602,6.7,0,2,2,0,0,0,1,0,0,0.3,0.3,0,0.3,Matches
152,Ben Davies,wls WAL,DF,eng Tottenham Hotspur,29,1993,7,4,392,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
153,Ben Davies,eng ENG,DF,sct Rangers,26,1995,3,3,260,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
154,Steven Davis,nir NIR,MF,sct Rangers,37,1985,5,3,249,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
155,Kevin De Bruyne,be BEL,MF,eng Manchester City,31,1991,10,9,716,8,2,6,8,2,0,0,1,0,0.25,0.75,1.01,0.25,1.01,Matches
156,Charles De Ketelaere,be BEL,MF,it Milan,21,2001,6,3,234,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
157,Rodrigo De Paul,ar ARG,MF,es Atlético Madrid,28,1994,5,1,256,2.8,1,0,1,1,0,0,1,0,0.35,0,0.35,0.35,0.35,Matches
158,Mattia De Sciglio,it ITA,DF,it Juventus,29,1992,3,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
159,Amar Dedić,ba BIH,DF,at RB Salzburg,19,2002,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
160,Thomas Delaney,dk DEN,MF,es Sevilla,30,1991,4,3,230,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
161,Ousmane Dembélé,fr FRA,FW,es Barcelona,25,1997,6,5,413,4.6,1,2,3,1,0,0,1,0,0.22,0.44,0.65,0.22,0.65,Matches
162,Kerem Demirbay,de GER,MF,de Leverkusen,29,1993,5,2,268,3,0,0,0,0,0,1,1,0,0,0,0,0,0,Matches
163,Sergiño Dest,us USA,DF,it Milan,21,2000,4,1,191,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
164,Giovanni Di Lorenzo,it ITA,DF,it Napoli,28,1993,10,10,888,9.9,2,2,4,2,0,0,2,0,0.2,0.2,0.41,0.2,0.41,Matches
165,Ángel Di María,ar ARG,FW,it Juventus,34,1988,3,2,146,1.6,0,3,3,0,0,0,0,0,0,1.85,1.85,0,1.85,Matches
166,Moussa Diaby,fr FRA,"MF,FW",de Leverkusen,23,1999,6,6,505,5.6,2,0,2,2,0,0,0,0,0.36,0,0.36,0.36,0.36,Matches
167,Abdou Diallo,sn SEN,DF,de RB Leipzig,26,1996,5,2,227,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
168,Rúben Dias,pt POR,"DF,MF",eng Manchester City,25,1997,12,11,"1,049",11.7,1,0,1,1,0,0,2,0,0.09,0,0.09,0.09,0.09,Matches
