Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
118,Samuel Chukwueze,ng NGA,MF,es Villarreal,22,1999,3.1,0,0,0,6,2,0,3,2,1,,,0,Matches
119,Claudinho,br BRA,"MF,FW",ru Zenit,24,1997,5.1,1,0,0,6,8,2,22,6,5,,,0,Matches
120,Sebastián Coates,uy URU,DF,pt Sporting CP,30,1990,6,1,0,0,1,3,0,0,9,6,,,0,Matches
121,Serafim Cojocari,md MDA,DF,md FC Sheriff Tiraspol,20,2001,0,0,0,0,0,0,0,0,0,0,,,0,Matches
122,Maxim Cojocaru,md MDA,MF,md FC Sheriff Tiraspol,23,1998,0.2,1,0,0,1,0,0,0,0,0,,,0,Matches
123,Antonio Čolak,hr CRO,FW,se Malmö,27,1993,5.5,1,0,0,11,7,2,2,1,1,,,0,Matches
124,Kingsley Coman,fr FRA,MF,de Bayern Munich,25,1996,7,1,0,0,6,16,4,36,2,6,,,0,Matches
125,Francisco Conceição,pt POR,MF,pt Porto,18,2002,0.4,1,0,0,1,0,0,0,1,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
126,Francis Coquelin,fr FRA,MF,es Villarreal,30,1991,5.1,2,1,1,9,4,2,3,8,4,,,0,Matches
127,Jesús Corona,mx MEX,DF,pt Porto,28,1993,2.4,1,0,0,3,4,0,6,3,2,,,0,Matches
128,Ángel Correa,ar ARG,"FW,MF",es Atlético Madrid,26,1995,4.5,2,0,0,10,8,2,6,2,3,,,0,Matches
129,Joaquín Correa,ar ARG,"FW,MF",it Inter,26,1994,1.2,0,0,0,1,2,1,0,0,1,,,0,Matches
130,Bruno Xavier Almeida Costa,pt POR,"FW,MF",pt Porto,24,1997,0.1,0,0,0,0,0,0,0,0,1,,,0,Matches
131,Diogo Costa,pt POR,GK,pt Porto,21,1999,6,0,0,0,0,1,0,0,0,1,,,0,Matches
132,Fernando Costanza,br BRA,DF,md FC Sheriff Tiraspol,22,1998,6,2,0,0,6,8,1,13,11,12,,,0,Matches
133,Thibaut Courtois,be BEL,GK,es Real Madrid,29,1992,13.7,0,0,0,0,2,0,0,0,0,,,0,Matches
134,Philippe Coutinho,br BRA,"FW,MF",es Barcelona,29,1992,1.2,0,0,0,1,4,0,2,0,1,,,0,Matches
135,Juan Cuadrado,co COL,"MF,DF",it Juventus,33,1988,5.2,2,0,0,3,9,0,29,5,3,,,0,Matches
136,Matheus Cunha,br BRA,"FW,MF",es Atlético Madrid,22,1999,1.6,0,0,0,6,3,0,0,3,1,,,0,Matches
137,Danilo D'Ambrosio,it ITA,DF,it Inter,32,1988,1.6,1,0,0,4,1,0,3,1,1,,,0,Matches
138,Cosimo Marco Da Graca,it ITA,FW,it Juventus,19,2002,0,0,0,0,0,0,0,0,0,1,,,0,Matches
139,Johan Dahlin,se SWE,GK,se Malmö,34,1986,3.5,1,0,0,1,0,0,0,0,0,,,0,Matches
140,Mahmoud Dahoud,de GER,MF,de Dortmund,25,1996,2.4,0,0,0,2,2,1,5,1,4,,,0,Matches
141,Diogo Dalot,pt POR,DF,eng Manchester Utd,22,1999,2.6,1,0,0,5,0,0,5,2,7,,,0,Matches
142,Danilo,br BRA,DF,it Juventus,30,1991,5,0,0,0,4,6,0,7,11,2,,,0,Matches
143,Arnaut Danjuma,nl NED,FW,es Villarreal,24,1997,10,0,0,0,6,7,8,14,1,0,,,0,Matches
144,Mohamed Daramy,dk DEN,FW,nl Ajax,19,2002,0.6,0,0,0,0,0,0,1,1,0,,,0,Matches
145,Matteo Darmian,it ITA,MF,it Inter,31,1989,2.2,1,0,0,1,2,5,3,2,3,,,0,Matches
146,Jonathan David,ca CAN,"FW,MF",fr Lille,21,2000,7.5,0,0,0,4,12,1,1,3,3,,,0,Matches
147,Alphonso Davies,ca CAN,DF,de Bayern Munich,20,2000,5.3,0,0,0,7,4,0,16,6,11,,,0,Matches
148,Kevin De Bruyne,be BEL,MF,eng Manchester City,30,1991,8.1,2,0,0,9,9,0,43,5,4,,,0,Matches
149,Charles De Ketelaere,be BEL,"FW,MF",be Club Brugge,20,2001,5.5,0,0,0,1,11,10,12,1,4,,,0,Matches
150,Rodrigo De Paul,ar ARG,MF,es Atlético Madrid,27,1994,6.4,2,0,0,12,13,0,16,7,13,,,0,Matches
